wallet_address,total_estimated_airdrop,current_points,initial_airdrop_amount
,0,100,0
0x39788Df02999c888911EC2DDa42Ff1c0070404F7,0,0,0
0x762086BF84528c74a5D8141DDf201AA73Fb911ee,0,0,0
0x954CB7c68C4F1427bFC8cb5b378bFBc04896D888,0,0,0
0x991d5D1384ed92aBb74e71A27076af79FF53C9C8,0,0,0
0xadD46811062682a0843FE7c83cdE7f94ba3E5897,0,0,0
1196760536865792001,928720.6872533086,100,0
1267754223661314048,928720.6872533086,100,0
12Y7qdTfWtCC7t87V6MjhTHCuT5CEpBwkY5WF5Je2qep,47481573.7,100,47481473.7
12heEFi1SUHbasz8pBSHbsaCuXwVrdsJaehUMamLVYA,928720.6872533086,100,0
1317527575653134336,928720.6872533086,100,0
137VRwiGhrov74PRBJAZyNWY1TPYPgTVPEmeVX6vz483,1903877.4088692826,205,0
1392834422597095425,928720.6872533086,100,0
1572877676750245889,928720.6872533086,100,0
1672513884207345664,928720.6872533086,100,0
1688013557928235008,928720.6872533086,100,0
1696179192088395776,928720.6872533086,100,0
1739258215802499072,928720.6872533086,100,0
1833156301259526144,928720.6872533086,100,0
1855924498114977793,928720.6872533086,100,0
1887678361297616896,928720.6872533086,100,0
23f5Hg3PVC4iSmawp6ULh8ipUZroKBqR9djq2hPDk2qR,1903877.4088692826,205,0
27vM2tSCwKszjESRn2dtSCNtc4dESyuQWWSJLPxWaczG,2275568.0907663214,355,0
2Ct4aUDSBYQYbyigzAbxahu1uxLwPBKqXkoMzzZxCiR5,928720.6872533086,100,0
2Dwh4KaXAsp1bxKRmVbBzjTzB49ciB7PYDnFByctPWQ5,2269748.409577699,355,0
2E2Eoc3ubjn2AZNKKYKrUKtdr5gK9Ugv8HFhntHPLfZt,1903877.4088692826,205,0
2EFZ8mH7sN632hFZFtRG7eaVJtxDZmhugS5QERa6vMRw,928720.6872533086,100,0
2GDckf3edfaCGrGw1y6nACowgeytUn1wkMshEm8rdxXQ,1939524.9753584943,305,0
2JD6PyYhUiPBE7EERmQQVpka7j2n7sEF1PmNdnmJfSv2,928720.6872533086,100,0
2KtB1mhJ7MppPYESULVMVoG1Saz5qYPPZVF21CgFv5eA,0,100,0
2L74rMPWoprM1tsEWHznUzbAovuDwtnWnLtyreGcBofr,1207336.893429301,130,0
2QHU55GNsZ1tWYVUPv4sRAo43oezujFN3gjnpBQeyikE,928720.6872533086,100,0
2R9pVfmBDUwREep3MjRAwVJ5NFq4A6ieDtabEfY8KTHY,12390423.9,255,12390168.9
2RMpWoZNmADBdvRqeksA2qaxVMzKAgS7bDUCyDRmjHXC,0,100,0
2SAwvKd28e87hKphqg1BdbUfike68ebXL4LwaHnQgxm2,1671697.2370559555,180,0
2SnHFJcyHZgbjqnP1ACr5wZ9kxobFcvHPw6y7t9MEfez,1903877.4088692826,205,0
2YQfKriEPuuqQjsQXFfsHutoaFzNqPPRqDpPxvkCyk24,0,100,0
2cp68k4Bqkdt52rVeAx1qk5xVYFG4scgdbV1rXSmKK5s,928720.6872533086,100,0
2fhYFZK5sk9fXPMdCh2HxRGX71gPySxQH6NW4jE3D8gc,69899353.88725331,100,68970633.2
2h8mTXHU4caeJEw6eq6SyAS9uVF4FEcF52K28AJQ27Hj,26230126.481713183,3555,4447705.6
2hDbXMUn4TrMrQNfd8rEeBSNcjDnLtgfDdU1HQwVH8XF,1903877.4088692826,205,0
2jLDxkK3ophYosLo1AMx88YhshHPXpZjLC1ZNMcfdvuR,1929097.75149426,305,0
2n1iq6Xbs1TAksiXSzrYRzp1N6gcABnMqeMgyEYgz4RS,1903877.4088692826,205,0
2oKY8LRj9GTiekDhUxbtADnS1MbEQQkd8PwbfjmSGJRB,13808517.804108877,2255,0
2s9wPGroeaU5SB9Dfwf6m4qQSKvzExfCNX9kWAhKfP1o,1938292.3961742555,305,0
2teeicaH1EEp4Y5873EkQRsWqhKtWRRVZq17aab1knTK,205,205,0
2vUTXNThFif4hB2iKrK1tsU3qaHQRQ7ExP4rAhQLLBVs,928720.6872533086,100,0
2weDREtk8PAJSqscbFK3j2fD6GR43hXnWqqt95E7kskA,1928487.8758180267,305,0
327EVXUkH6vdDqPzddhuFNyMNQvagMBbF8eanEs7CS1T,928720.6872533086,100,0
3403038946,928720.6872533086,100,0
35594432,928720.6872533086,100,0
3ExNQUz4Bgf4j4HKK7QxxAba9aAzdC3eoR1t4L735RUo,928720.6872533086,100,0
3J2GwDmHAxH8TyXVq4eHzv4gf23nGAnRsdZX1xj89AN8,1903877.4088692826,205,0
3LVS139ZZ64JWxvwUiWrxJugEJbdE6deHv4w1ZqkoKt6,928720.6872533086,100,0
3Z5b1zp3zrvrtnphR5iD1h9Yio7F77t3nXrX9ZFA9bkB,1930929.695166345,305,0
3f9Kjtj93A8kado1Hj7epwZhBeDZJNHvLtr4kpB5sxrR,1903877.4088692826,205,0
3h6hiC7c1kUMkTp6jUExmSmsWhVNZkHK5tA3zv9CfY5t,2368237.7524959366,255,0
3ieVA4zEwik9mbmLQ6ee29Twpp9gWcYWdkLE6gUWaSHf,928720.6872533086,100,0
3jhmLJ5VgkeYAmzxzzzTND66PZrKL2RScHYr2StgkwBh,503649812.94694686,10105,409802587.5
3k5UTQGqcSkmvTSqXAPM8cRy6n391dDwsbm4USgY5DEN,1476204.2296460317,230,0
3mEuZ6nPTie1h7xcCbfvFWbVjozXbeSZ21BhcKeX4Pwk,3296958.439749245,355,0
3vCJmSZewhDEPJQAtp7wjzdUuE3a2ezWHNvE4DtfHWGr,1439517.0652426283,155,0
3vTUzQm5FAY5umNjpRQZ4WP9PjEMK6vdYDpHcm1YfJh2,928720.6872533086,100,0
3w3Bv91saqXhcAnd4o27y5rLViTEW5hyXUvVbTwkzBuA,928720.6872533086,100,0
3wEijVSN93SKjmppftmMX3Kzs4C4sBSaLwKszebHPc7J,928720.6872533086,100,0
3xgwbBjTXBy6k6FMFGmEpmrF8kszqjpvMCukBcMgvba6,1207336.893429301,130,0
3z2Lh9CtT9Va6ZFJyEZC2kUabyX1woKr4skgBqaEohZs,205,205,0
3zSieYHp9dk2mvQ3KcmX28p15ohhjhF1NNtE2yJuaUAX,928720.6872533086,100,0
41YGV9c4riBpxh6y9KXrPjaKrsJR1ez3Vm3BY3eGEQxj,0,100,0
44hiTPJMb6eifT1BZeb6MmLPw1dAzpL87fMJ8o7rkK37,2136057.5806826097,230,0
46HPX51Wd74aemGmZYzjsi5NXfi2QWFNzZQTARAL66NP,928720.6872533086,100,0
46UP3xhB8s6wqU8K48MRpJ7rshd7hhEjLGdCuto4g9HL,0,100,0
